html_url,name,url,login,created_at,stars,f0_
https://github.com/tensorflow/tensorflow/issues/24879,tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow,YunyanYao,2019-01-13 15:04:47 UTC,94322,1
https://github.com/tensorflow/tensorflow/issues/24877,tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow,yuvdar,2019-01-13 07:31:38 UTC,94322,1
https://github.com/tensorflow/tensorflow/issues/24875,tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow,CtfGo,2019-01-13 05:13:05 UTC,94322,1
https://github.com/tensorflow/tensorflow/issues/24882,tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow,drselvimunuswamy,2019-01-13 20:42:45 UTC,94322,1
https://github.com/vuejs/vue/issues/9312,vuejs/vue,https://api.github.com/repos/vuejs/vue,phplego,2019-01-13 10:38:58 UTC,85004,2
https://github.com/vuejs/vue/issues/9313,vuejs/vue,https://api.github.com/repos/vuejs/vue,Kjir,2019-01-13 12:20:58 UTC,85004,2
https://github.com/facebook/react/issues/14583,facebook/react,https://api.github.com/repos/facebook/react,Kazimirkas,2019-01-13 21:43:25 UTC,82245,1
https://github.com/twbs/bootstrap/issues/28031,twbs/bootstrap,https://api.github.com/repos/twbs/bootstrap,hktalent,2019-01-13 07:11:37 UTC,78161,2
https://github.com/twbs/bootstrap/issues/28034,twbs/bootstrap,https://api.github.com/repos/twbs/bootstrap,XhmikosR,2019-01-13 16:37:04 UTC,78161,2
https://github.com/facebook/react-native/issues/22975,facebook/react-native,https://api.github.com/repos/facebook/react-native,YoruNoHikage,2019-01-13 18:18:49 UTC,63288,1
https://github.com/facebook/react-native/issues/22974,facebook/react-native,https://api.github.com/repos/facebook/react-native,thiagoh,2019-01-13 16:36:32 UTC,63288,1
https://github.com/facebook/react-native/issues/22971,facebook/react-native,https://api.github.com/repos/facebook/react-native,pvanny1124,2019-01-13 08:38:18 UTC,63288,1
https://github.com/facebook/react-native/issues/22976,facebook/react-native,https://api.github.com/repos/facebook/react-native,dested,2019-01-13 19:02:42 UTC,63288,1
https://github.com/electron/electron/issues/16379,electron/electron,https://api.github.com/repos/electron/electron,ChugunovRoman,2019-01-13 19:01:23 UTC,55200,3
https://github.com/robbyrussell/oh-my-zsh/issues/7508,robbyrussell/oh-my-zsh,https://api.github.com/repos/robbyrussell/oh-my-zsh,Mebus,2019-01-13 19:14:06 UTC,52267,1
https://github.com/robbyrussell/oh-my-zsh/issues/7506,robbyrussell/oh-my-zsh,https://api.github.com/repos/robbyrussell/oh-my-zsh,G33KatWork,2019-01-13 02:12:15 UTC,52267,1
https://github.com/Microsoft/vscode/issues/66442,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,Apozhidaev,2019-01-13 08:07:41 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66438,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,SylannBin,2019-01-13 02:10:38 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66460,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,Josverl,2019-01-13 21:55:53 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66443,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,eterlan,2019-01-13 09:45:10 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66456,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,talley,2019-01-13 19:50:41 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66447,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,xiaofeng19,2019-01-13 10:37:27 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66448,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,itsnzsaad,2019-01-13 11:16:09 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66454,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,vlkv,2019-01-13 17:09:23 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66457,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,allan-simon,2019-01-13 19:53:07 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66444,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,shreeve,2019-01-13 09:46:44 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66440,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,physicsLoveJava,2019-01-13 06:52:26 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66439,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,trileminh94,2019-01-13 04:08:01 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66453,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,Damemo,2019-01-13 16:59:29 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66461,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,bergmeister,2019-01-13 22:44:07 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66450,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,rahulguptakota,2019-01-13 14:07:33 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66437,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,gustavosg,2019-01-13 02:10:11 UTC,46941,1
https://github.com/Microsoft/vscode/issues/66441,Microsoft/vscode,https://api.github.com/repos/Microsoft/vscode,marcbun,2019-01-13 07:06:49 UTC,46941,1
